pandaid,IObytesRead,IObytesReadRate,IObytesWriteRate,IObytesWritten,actualcorecount,assignedpriority,avgpss,avgrss,avgvmem,cpu_eff,cpuconsumptiontime,currentpriority,dbTime,failedattempt,hs06sec,inputfilebytes,maxcpucount,maxdiskcount,maxpss,maxrss,maxvmem,minramcount,nevents,outputfilebytes,queue_time,timeExe,timeStageIn,timeStageOut,wall_time,workDirSize,computingsite,jobstatus
4051899481,2140772.0,7140555.0,127949.0,38360.0,1.0,1100,1178785.0,1186000.0,2388442.0,0.5076661,298,1100,11.61,0,6968,8114592,0,381,2202532.0,2210792.0,4455276.0,2823,7,27560795,1651,372,23,87,587,5373952.0,Taiwan-LCG2_VL,finished
4051899485,2003952.0,5576214.0,117136.0,42096.0,1.0,1100,1257256.0,1326359.0,2799364.0,0.535445,355,1100,14.96,0,7870,10468460,0,388,2490514.0,2580632.0,4442016.0,2823,9,31507339,1652,412,26,87,663,5410816.0,Taiwan-LCG2_VL,finished
4051899496,1846440.0,4397103.0,130243.0,54692.0,1.0,1100,1350084.0,1429867.0,2786416.0,0.53680205,423,1100,15.67,0,9354,17210792,0,406,2571626.0,2725500.0,4499920.0,2823,15,41011119,1676,512,31,91,788,5822545.0,Taiwan-LCG2_VL,finished
4051899497,2349640.0,6538128.0,137271.0,49332.0,1.0,1100,1359857.0,1391913.0,2695040.0,0.5359116,388,1100,16.78,0,8594,16588076,0,404,2554630.0,2607712.0,4502756.0,2823,15,40124980,2345,442,27,117,724,5455872.0,Taiwan-LCG2_VL,finished
4051899499,1724520.0,4106763.0,122498.0,51440.0,1.0,1100,1498520.0,1553879.0,2925381.0,0.5435685,393,1100,18.91,0,8582,14555816,0,399,2733795.0,2851624.0,4623184.0,2823,13,37915975,1672,462,24,81,723,5464064.0,Taiwan-LCG2_VL,finished
4051899502,2618192.0,3103042.0,38750.0,32696.0,1.0,1100,1381241.0,1390338.0,2719186.0,0.7297543000000001,802,1100,32.66,0,11951,9956056,0,386,2883107.0,2893192.0,4495772.0,2823,8,30562527,1471,947,6,16,1099,16168232.0,IN2P3-CC_CL7_HIMEM,finished
4051899506,1995296.0,5537081.0,69143.0,24916.0,1.0,1100,999693.0,1006642.0,2053614.0,0.6456693,328,1100,14.87,0,5524,4059704,0,370,2366285.0,2376040.0,4392172.0,2823,4,22401192,1436,394,3,11,508,5468160.0,IN2P3-CC_CL7_HIMEM,finished
4051899509,2250132.0,6261236.0,95799.0,34428.0,1.0,1100,1334467.0,1343224.0,2610174.0,0.6201413,351,1100,13.31,0,6155,11348672,0,390,2830061.0,2839988.0,4491016.0,2823,10,32706229,1687,424,3,8,566,5464064.0,IN2P3-CC_CL7_HIMEM,finished
4051899512,2058556.0,5712632.0,83906.0,30236.0,1.0,1100,1368525.0,1396935.0,2724758.0,0.60915494,346,1100,12.82,0,6176,8016000,0,381,2729068.0,2777940.0,4475948.0,2823,7,28257320,1691,434,3,7,568,5410816.0,IN2P3-CC_CL7_HIMEM,finished
4051899517,2008264.0,5573068.0,83118.0,29952.0,1.0,1100,1233790.0,1242154.0,2447522.0,0.61538464,352,1100,13.76,0,6220,7649648,0,380,2592271.0,2602060.0,4516092.0,2823,7,27969469,1691,444,3,8,572,5427200.0,IN2P3-CC_CL7_HIMEM,finished
4051899524,1984980.0,6620910.0,99051.0,29696.0,1.0,1100,1361714.0,1369510.0,2419316.0,0.67524755,341,1100,13.9,0,5491,7964832,0,381,2884477.0,2894352.0,4485944.0,2823,6,27688534,768,384,4,8,505,5402624.0,IN2P3-CC_CL7_HIMEM,finished
4051899526,2441096.0,5799726.0,88306.0,37168.0,1.0,1100,1583292.0,1592008.0,2956479.0,0.66402537,419,1100,14.28,0,6862,13347152,0,396,2817973.0,2827688.0,4560072.0,2823,12,35944267,769,484,3,8,631,5464064.0,IN2P3-CC_CL7_HIMEM,finished
4051899528,2086548.0,5790312.0,95795.0,34520.0,1.0,1100,1312729.0,1358661.0,2796152.0,0.7153845999999999,372,1100,14.53,0,5200,11384940,0,390,2614165.0,2693788.0,4501840.0,2823,10,32816069,982,434,3,10,520,5402624.0,IN2P3-CC-T3_HTC,finished
4051899530,2314764.0,2101346.0,34805.0,38340.0,1.0,1100,1259381.0,1327650.0,2639200.0,0.72924745,940,1100,40.09,0,12890,11775972,0,391,2653832.0,2701176.0,4556960.0,2823,10,33416286,992,1198,10,18,1289,11640860.0,IN2P3-CC-T3_HTC,finished
4051899533,2035356.0,2088381.0,30921.0,30136.0,1.0,1100,1154772.0,1230660.0,2488596.0,0.7005937,826,1100,39.76,0,11790,7618892,0,380,2489622.0,2586056.0,4414680.0,2823,7,27665016,1007,1068,9,20,1179,11710132.0,IN2P3-CC-T3_HTC,finished
4051899540,2126808.0,4426527.0,91410.0,43920.0,1.0,1100,1237792.0,1275187.0,2426678.0,0.7586805999999999,437,1100,15.09,0,5760,18467916,0,410,2569094.0,2621172.0,4503208.0,2823,16,43330887,1268,515,4,10,576,5517312.0,IN2P3-CC-T3_HTC,finished
4051899548,2603580.0,2374056.0,35186.0,38588.0,1.0,1100,1231032.0,1302692.0,2664124.0,0.7085169,965,1100,39.6,0,13620,13948656,0,397,2607296.0,2720064.0,4532656.0,2823,12,37183660,1463,1218,7,37,1362,13705044.0,IN2P3-CC-T3_HTC,finished
4051899550,2325336.0,2240022.0,32868.0,34120.0,1.0,1100,1248241.0,1325546.0,2676619.0,0.72200775,935,1100,39.52,0,12950,10817660,0,388,2742733.0,2855676.0,4521452.0,2823,9,32043048,1505,1168,7,18,1295,11644804.0,IN2P3-CC-T3_HTC,finished
4051899555,1815320.0,4333071.0,105455.0,44180.0,1.0,1100,1277472.0,1342511.0,2911964.0,0.5405063,427,1100,17.31,0,9377,12185344,0,392,2509943.0,2625112.0,4462176.0,2823,10,33877547,1689,503,28,100,790,5804501.0,Taiwan-LCG2_VL,finished
4051899559,2521576.0,6004869.0,390529.0,163992.0,1.0,1100,1300955.0,1369690.0,2817568.0,0.43700340000000004,385,1100,13.74,0,10458,15362872,0,401,2600796.0,2738660.0,4478076.0,2823,14,38606869,1807,472,24,94,881,5427200.0,Taiwan-LCG2_VL,finished
4051899577,2587696.0,7181031.0,115076.0,41468.0,1.0,1100,1528760.0,1541166.0,2888155.0,0.6619469,374,1100,10.78,0,6144,17010816,0,406,2945009.0,2954696.0,4535144.0,2823,15,40685246,773,414,3,9,565,5541888.0,IN2P3-CC_CL7_HIMEM,finished
4051899585,1992800.0,4156063.0,67421.0,32328.0,1.0,1100,1221145.0,1228913.0,2371984.0,0.64659274,408,1100,14.44,0,6862,9305416,0,384,2853614.0,2863664.0,4582192.0,2823,8,30682837,1740,525,3,9,631,5541888.0,IN2P3-CC_CL7_HIMEM,finished
4051899586,2742712.0,6516327.0,76132.0,32044.0,1.0,1100,1387620.0,1396931.0,2898386.0,0.6382306,404,1100,14.3,0,6883,9026832,0,384,2817126.0,2827452.0,4478124.0,2823,8,29214822,1729,484,4,10,633,5431296.0,IN2P3-CC_CL7_HIMEM,finished
4051899591,2677180.0,6375424.0,84158.0,35340.0,1.0,1100,1440262.0,1448972.0,2774274.0,0.6019108,378,1100,13.52,0,6829,11940060,0,392,2775657.0,2785484.0,4483512.0,2823,11,34045040,1730,484,3,9,628,5439488.0,IN2P3-CC_CL7_HIMEM,finished
4051899593,2931316.0,6964425.0,85939.0,36172.0,1.0,1100,1381342.0,1412252.0,2909657.0,0.6041667,406,1100,14.74,0,7307,12719016,0,394,2553063.0,2608000.0,4523076.0,2823,12,34616369,1025,485,3,40,672,5468160.0,IN2P3-CC_CL7_HIMEM,finished
4051899594,2257516.0,5376038.0,77385.0,32496.0,1.0,1100,1287101.0,1314477.0,2800926.0,0.681338,387,1100,15.5,0,6176,9698716,0,385,2395112.0,2430044.0,4470644.0,2823,9,30740572,1021,464,3,8,568,5423104.0,IN2P3-CC_CL7_HIMEM,finished
4051899599,2530028.0,6024996.0,119241.0,50072.0,1.0,1100,1534769.0,1592079.0,3151189.0,0.7346221,418,1100,13.73,0,6187,19876848,0,414,2747226.0,2839992.0,4471824.0,2823,18,44567535,1030,464,3,9,569,5537792.0,IN2P3-CC_CL7_HIMEM,finished
4051899604,2803300.0,6675765.0,105762.0,44412.0,1.0,1100,1211996.0,1219538.0,2214213.0,0.6672534999999999,379,1100,14.11,0,6176,16432860,0,404,2757229.0,2767184.0,4459960.0,2823,15,38679841,1091,454,3,8,568,5476352.0,IN2P3-CC_CL7,finished
4051899606,2065032.0,4297952.0,68716.0,33016.0,1.0,1100,1372971.0,1382022.0,2619212.0,0.7565789,460,1100,13.81,0,6611,9830344,0,386,2821634.0,2831400.0,4658660.0,2823,8,31309062,1097,515,3,8,608,5476352.0,IN2P3-CC_CL7,finished
4051899608,2483236.0,6891148.0,96672.0,34836.0,1.0,1100,1297221.0,1311024.0,2742366.0,0.64736843,369,1100,13.73,0,6198,12007112,0,392,2575384.0,2599360.0,4461440.0,2823,11,33216875,1393,424,3,9,570,5427200.0,IN2P3-CC_CL7,finished
4051899612,2327884.0,4845026.0,79205.0,38056.0,1.0,1100,1581784.0,1590600.0,2943477.0,0.6556671,457,1100,15.54,0,7579,13879164,0,397,2925453.0,2935232.0,4580128.0,2823,12,36999214,1377,565,4,10,697,5517312.0,IN2P3-CC_CL7,finished
4051899619,1969600.0,5465773.0,86837.0,31292.0,1.0,1100,1290703.0,1299297.0,2587485.0,0.6963636,383,1100,14.51,0,5981,8708768,0,383,2778476.0,2788228.0,4553756.0,2823,8,29695419,1120,444,3,9,550,5459968.0,IN2P3-CC_CL7,finished
4051899622,2768784.0,7683563.0,94418.0,34024.0,1.0,1100,1408756.0,1417472.0,2757355.0,0.6712871,339,1100,12.49,0,5491,11054608,0,389,2777045.0,2786808.0,4504692.0,2823,10,32386014,854,404,3,9,505,5472256.0,IN2P3-CC_CL7,finished
4051899624,2185776.0,4549257.0,83610.0,40172.0,1.0,1100,1256995.0,1264860.0,2429746.0,0.6115108,425,1100,15.64,0,7558,16110184,0,403,2776666.0,2786564.0,4513188.0,2823,15,39472801,856,515,4,46,695,5550080.0,IN2P3-CC_CL7,finished
4051899628,2840524.0,7882646.0,76014.0,27392.0,1.0,1100,1269419.0,1300136.0,2853068.0,0.7699115,348,1100,14.68,0,4520,5644796,0,374,2481782.0,2515964.0,4533488.0,2823,5,24883464,1578,404,3,11,452,5394432.0,IN2P3-CC-T3_HTC,finished
4051899634,2961272.0,8217730.0,86704.0,31244.0,1.0,1100,1191941.0,1223842.0,2784057.0,0.72688174,338,1100,15.21,0,4650,6280656,0,376,2463562.0,2498316.0,4452888.0,2823,6,25335335,1675,394,3,9,465,5443584.0,IN2P3-CC-T3_HTC,finished
4051899635,2290588.0,6391177.0,81071.0,29056.0,1.0,1100,1129300.0,1181520.0,2658906.0,0.6806084,358,1100,14.8,0,5260,7102316,0,378,2490298.0,2585140.0,4525280.0,2823,6,26842986,1674,434,3,8,526,5443584.0,IN2P3-CC-T3_HTC,finished
4051899637,2748660.0,7627717.0,84994.0,30628.0,1.0,1100,1234754.0,1273544.0,2767432.0,0.7003891,360,1100,15.41,0,5140,8498624,0,382,2558502.0,2616916.0,4522740.0,2823,7,28486004,1705,414,3,8,514,5447680.0,IN2P3-CC-T3_HTC,finished
4051899638,2259776.0,6254082.0,86237.0,31160.0,1.0,1100,1167585.0,1225876.0,2665755.0,0.6615385,344,1100,15.37,0,5200,8994124,0,383,2516469.0,2634932.0,4469996.0,2823,8,29075404,1706,424,3,11,520,5443584.0,IN2P3-CC-T3_HTC,finished
4051899648,2786228.0,6619715.0,87317.0,36752.0,1.0,1100,1404929.0,1452477.0,3027732.0,0.7135417,411,1100,16.56,0,5760,13194332,0,395,2499825.0,2547884.0,4504896.0,2823,12,35419579,1846,474,3,8,576,5451776.0,IN2P3-CC-T3_HTC,finished
4051899651,2577332.0,2663156.0,33210.0,32140.0,1.0,1100,1216485.0,1245518.0,2520582.0,0.73464376,897,1100,40.52,0,12210,9365924,0,384,2652472.0,2676608.0,4545404.0,2823,8,30094676,1936,1088,8,16,1221,11634268.0,IN2P3-CC-T3_HTC,finished
4051899654,2238968.0,9282199.0,174021.0,41976.0,1.0,1100,1071473.0,1103680.0,2171056.0,0.6296295999999999,255,1100,11.35,0,4908,6479384,0,376,2574361.0,2664132.0,4308972.0,2823,6,25714798,1410,302,12,24,405,5390336.0,pic_HIMEM,finished
4051899657,2559700.0,10655011.0,182288.0,43792.0,1.0,1100,1077545.0,1119946.0,2248053.0,0.5510689000000001,232,1100,9.97,0,5102,8405504,0,382,2276365.0,2346440.0,4354588.0,2823,8,28014040,1412,272,50,23,421,5390336.0,pic_HIMEM,finished
4051899660,2263056.0,9458650.0,193983.0,46412.0,1.0,1100,1219049.0,1236062.0,2289029.0,0.6486486,264,1100,13.43,0,4933,10780912,0,388,2656689.0,2691660.0,4334908.0,2823,9,31158118,1415,312,15,18,407,5406720.0,pic_HIMEM,finished
4051899667,1926636.0,6426303.0,135101.0,40504.0,1.0,1100,1285409.0,1292392.0,2476846.0,0.6673347,333,1100,12.0,0,6048,8533528,0,382,2735272.0,2743868.0,4343064.0,2823,8,28796870,1418,372,11,19,499,5406720.0,pic_HIMEM,finished
4051899668,1982984.0,8288063.0,199851.0,47816.0,1.0,1100,1130329.0,1167164.0,2190293.0,0.60136676,264,1100,9.89,0,5320,14528204,0,399,2662732.0,2762292.0,4355456.0,2823,13,37196529,1418,302,11,18,439,5451776.0,pic_HIMEM,finished
4051899670,1717988.0,7151299.0,308132.0,74024.0,1.0,1100,1435488.0,1471966.0,2890754.0,0.64236903,282,1100,10.3,0,5320,10325008,0,387,2693572.0,2790160.0,4410820.0,2823,9,31922258,1419,312,11,18,439,5443584.0,pic_HIMEM,finished
4051899673,1557912.0,6484967.0,182804.0,43916.0,1.0,1100,1324431.0,1408356.0,2806831.0,0.68613136,282,1100,10.62,0,4981,11932244,0,392,2580840.0,2677836.0,4352772.0,2823,11,33316774,1428,322,13,19,411,5414912.0,pic_HIMEM,finished
4051899686,2338920.0,6490661.0,100701.0,36288.0,1.0,1100,1352688.0,1469889.0,2836058.0,0.7341270000000001,370,1100,13.62,0,5480,12975480,0,394,2675111.0,2841596.0,4500460.0,2823,12,34889891,1455,414,3,7,504,5537792.0,IN2P3-CC_CL7_HIMEM,finished
4051899696,2407748.0,5733799.0,96484.0,40516.0,1.0,1100,1351940.0,1369120.0,2751458.0,0.68304276,431,1100,15.61,0,6862,16015192,0,403,2629269.0,2657340.0,4507720.0,2823,14,39845903,1022,504,3,19,631,5484544.0,IN2P3-CC_CL7_HIMEM,finished
4051899697,2472736.0,5888562.0,83806.0,35192.0,1.0,1100,1510911.0,1542375.0,2936645.0,0.6879085,421,1100,14.31,0,6655,12090940,0,392,2798294.0,2883364.0,4483140.0,2823,11,33543899,1026,474,3,8,612,5431296.0,IN2P3-CC_CL7_HIMEM,finished
4051899698,2783968.0,7725699.0,89279.0,32172.0,1.0,1100,1404703.0,1418637.0,2846617.0,0.6409335999999999,357,1100,13.51,0,6057,9958572,0,386,2563353.0,2582200.0,4406876.0,2823,9,30159428,1023,404,3,14,557,5472256.0,IN2P3-CC_CL7_HIMEM,finished
4051899703,2993336.0,10016915.0,194934.0,58252.0,1.0,1100,1167823.0,1195826.0,2486009.0,0.6868932,283,1100,15.75,0,4993,11752148,0,391,2566325.0,2615652.0,4341216.0,2823,11,33564398,1740,332,11,19,412,5427200.0,pic_HIMEM,finished
4051899705,1900996.0,7945387.0,208829.0,49964.0,1.0,1100,1485000.0,1492494.0,2891641.0,0.6498801,271,1100,14.71,0,5054,11264684,0,390,2776494.0,2785052.0,4455572.0,2823,10,32427746,1741,312,11,18,417,5447680.0,pic_HIMEM,finished
4051899708,2205540.0,9180784.0,157246.0,37776.0,1.0,1100,1187045.0,1194309.0,2133973.0,0.59574467,252,1100,11.8,0,5127,6634604,0,377,2825042.0,2833692.0,4355264.0,2823,6,26706295,1743,292,11,17,423,5402624.0,pic_HIMEM,finished
4051899709,2762224.0,9213411.0,324998.0,97436.0,1.0,1100,1264265.0,1271260.0,2448130.0,0.68333334,287,1100,10.87,0,5090,14329948,0,398,2832276.0,2840844.0,4356288.0,2823,13,37108619,1743,332,11,18,420,5423104.0,pic_HIMEM,finished
4051899713,2297944.0,7664803.0,304825.0,91388.0,1.0,1100,1291835.0,1305828.0,2564742.0,0.66391754,322,1100,10.83,0,5878,16012664,0,403,2579035.0,2596344.0,4472348.0,2823,14,39956528,1814,362,12,42,485,5464064.0,pic_HIMEM,finished
4051899714,2733956.0,9119123.0,160664.0,48168.0,1.0,1100,1203085.0,1213496.0,2475585.0,0.6666667,288,1100,9.96,0,5236,10970792,0,389,2585017.0,2601456.0,4373016.0,2823,10,32392935,1814,332,11,18,432,5414912.0,pic_HIMEM,finished
4051899715,1795124.0,7502885.0,166832.0,39916.0,1.0,1100,1397972.0,1420343.0,2838692.0,0.6330275,276,1100,11.57,0,5284,7873768,0,380,2714737.0,2729412.0,4510940.0,2823,7,28151772,1814,322,12,18,436,5419008.0,pic_HIMEM,finished
4051899721,2376108.0,7925519.0,159263.0,47748.0,1.0,1100,1152352.0,1208872.0,2535894.0,0.64123714,311,1100,12.11,0,5878,12757220,0,394,2558480.0,2656624.0,4449132.0,2823,11,34792292,1978,352,11,17,485,5419008.0,pic_HIMEM,finished
4051899727,2268352.0,7566099.0,131792.0,39512.0,1.0,1100,1261957.0,1326368.0,2645386.0,0.62398374,307,1100,11.38,0,5963,7886216,0,380,2722328.0,2821432.0,4456492.0,2823,6,28311369,1981,342,12,18,492,5410816.0,pic_HIMEM,finished
4051899733,1699772.0,3153200.0,82498.0,44472.0,1.0,1100,1190750.0,1243308.0,2391857.0,0.24586289,312,1100,108.44,0,15064,12859964,0,394,2556137.0,2672536.0,4395696.0,2823,12,34972609,2587,573,32,490,1269,5782591.0,Taiwan-LCG2_VL,finished
4051899735,1988780.0,5533996.0,114376.0,41104.0,1.0,1100,1306461.0,1359804.0,2809057.0,0.35187167,329,1100,18.6,0,11099,9497604,0,385,2622281.0,2706756.0,4470880.0,2823,9,30885190,2562,412,22,356,935,5790394.0,Taiwan-LCG2_VL,finished
4051899737,2465360.0,6860132.0,111026.0,39900.0,1.0,1100,1198806.0,1232973.0,2687826.0,0.42509136,349,1100,18.43,0,9745,8734544,0,383,2587534.0,2646476.0,4471868.0,2823,8,29402295,2563,412,27,183,821,5790537.0,Taiwan-LCG2_VL,finished
4051899738,2220200.0,5274906.0,150154.0,63200.0,1.0,1100,1276996.0,1318473.0,2771452.0,0.34035385,404,1100,31.09,0,14090,15593216,0,402,2558688.0,2637152.0,4465220.0,2823,14,38913562,2585,492,25,476,1187,5802470.0,Taiwan-LCG2_VL,finished
4051899744,1373668.0,4581876.0,140117.0,42008.0,1.0,1100,1228615.0,1366435.0,4751932.0,0.48333332,319,1100,17.38,0,7834,10719596,0,388,2638207.0,2858668.0,14810224.0,2823,10,32095847,1689,382,24,85,660,5394432.0,Taiwan-LCG2_VL,finished
4051899746,2526732.0,7030906.0,238859.0,85840.0,1.0,1100,1409485.0,1445014.0,2826933.0,0.5555555999999999,340,1100,13.74,0,7264,10755848,0,388,2664075.0,2759592.0,4459648.0,2823,10,31881725,2361,402,24,91,612,5406720.0,Taiwan-LCG2_VL,finished
4051899748,2693836.0,7495891.0,121766.0,43760.0,1.0,1100,1323700.0,1365598.0,2876825.0,0.55128205,344,1100,17.12,0,7407,11722648,0,391,2513648.0,2591224.0,4444552.0,2823,11,33947189,2357,412,24,99,624,5435392.0,Taiwan-LCG2_VL,finished
4051899751,1912332.0,5321271.0,134633.0,48384.0,1.0,1100,1403559.0,1442516.0,2729065.0,0.5832061,382,1100,14.48,0,7775,15521704,0,402,2554729.0,2613436.0,4479016.0,2823,14,38759113,2386,442,24,84,655,5431296.0,Taiwan-LCG2_VL,finished
4051899755,2346476.0,5587887.0,121365.0,50964.0,1.0,1100,1215256.0,1255914.0,2786336.0,0.65051395,443,1100,14.68,0,8552,10825224,0,389,2503814.0,2566980.0,4462680.0,2823,10,32073160,848,494,25,72,681,5431296.0,FZK-LCG2,finished
4051899756,1938192.0,5378614.0,198506.0,71532.0,1.0,1100,1000755.0,1007689.0,1888569.0,0.5461913,337,1100,12.63,0,7748,4280560,0,370,2755034.0,2764408.0,4494708.0,2823,4,22840157,850,394,22,90,617,5378048.0,FZK-LCG2,finished
4051899758,2628252.0,6273496.0,144305.0,60456.0,1.0,1100,1245333.0,1259315.0,2687937.0,0.5858585999999999,406,1100,17.98,0,8703,6533800,0,377,2489590.0,2505824.0,4398608.0,2823,6,25784757,892,454,23,84,693,5390336.0,FZK-LCG2,finished
4051899766,2700160.0,7513488.0,125373.0,45056.0,1.0,1100,1412397.0,1420546.0,2722151.0,0.5537459,340,1100,11.09,0,7711,13100528,0,395,2869169.0,2878296.0,4449168.0,2823,12,35193659,1108,404,18,80,614,5406720.0,FZK-LCG2,finished
4051899769,2136052.0,7124811.0,136902.0,41044.0,1.0,1100,1231238.0,1239049.0,2473860.0,0.49601275,311,1100,10.62,0,7874,9865996,0,386,2451730.0,2460736.0,4452544.0,2823,9,30788270,1108,374,20,77,627,5390336.0,FZK-LCG2,finished
4051899771,2733332.0,7585181.0,198206.0,71424.0,1.0,1100,1381923.0,1389210.0,2639114.0,0.5770548000000001,337,1100,13.84,0,7334,10707668,0,388,2803159.0,2812032.0,4458840.0,2823,10,31436015,939,394,21,67,584,5414912.0,FZK-LCG2,finished
4051899776,2138120.0,7131709.0,127456.0,38212.0,1.0,1100,1276319.0,1286864.0,2439268.0,0.56143343,329,1100,14.2,0,7359,7683040,0,380,2675254.0,2689740.0,4442008.0,2823,7,27410220,928,374,20,70,586,5394432.0,FZK-LCG2,finished
4051899778,1783476.0,7423900.0,152933.0,36740.0,1.0,1100,1108313.0,1142355.0,2122267.0,0.6264501,270,1100,10.82,0,5224,6414540,0,376,2695339.0,2783672.0,4337344.0,2823,6,25882191,1979,312,12,17,431,5406720.0,pic_HIMEM,finished
4051899787,2189816.0,9115331.0,173463.0,41672.0,1.0,1100,1053143.0,1070311.0,2049127.0,0.64444447,261,1100,11.16,0,4908,9803076,0,386,2519030.0,2559148.0,4266240.0,2823,9,30066712,2058,312,11,18,405,5390336.0,pic_HIMEM,finished
4051899788,2018732.0,6733490.0,174460.0,52304.0,1.0,1100,1358982.0,1389719.0,2605508.0,0.65189874,309,1100,10.31,0,5745,15290752,0,401,2822687.0,2882220.0,4448744.0,2823,14,38834580,2059,362,11,18,474,5455872.0,pic_HIMEM,finished
4051899789,2263712.0,9422931.0,219785.0,52800.0,1.0,1100,1222197.0,1243097.0,2238535.0,0.5912409000000001,243,1100,10.61,0,4981,9501884,0,385,2732143.0,2741564.0,4266720.0,2823,9,29173579,2061,282,11,18,411,5398528.0,pic_HIMEM,finished
4051899796,2446976.0,10227360.0,208728.0,49940.0,1.0,1100,1134931.0,1146211.0,2355840.0,0.6014151,255,1100,13.53,0,5139,8350648,0,382,1897864.0,1916572.0,4302824.0,2823,8,28574296,2379,302,13,23,424,5386240.0,pic_HIMEM,finished
4051899798,2730952.0,9109103.0,179156.0,53712.0,1.0,1100,1388318.0,1396215.0,2746410.0,0.6180258000000001,288,1100,16.81,0,5648,19726724,0,413,2788215.0,2796868.0,4490528.0,2823,18,44432612,2398,342,11,18,466,5476352.0,pic_HIMEM,finished
4051899801,2763260.0,7668233.0,227944.0,82140.0,1.0,1100,1529549.0,1567210.0,3006514.0,0.66483516,363,1100,11.07,0,6617,37155244,0,462,2643863.0,2726296.0,4424036.0,2823,30,66672793,2400,402,11,18,546,5513216.0,pic_HIMEM,finished
4051899806,2711904.0,6458115.0,107743.0,45244.0,1.0,1100,1399970.0,1420945.0,2926027.0,0.72680414,423,1100,15.6,0,5820,20234116,0,415,2590114.0,2605796.0,4587508.0,2823,17,44920534,1963,484,3,11,582,5513216.0,IN2P3-CC-T3_HTC,finished
4051899810,3344152.0,5568149.0,110092.0,66120.0,1.0,1100,1534060.0,1572322.0,3156793.0,0.82025677,575,1100,14.55,0,7010,35222372,0,456,2573954.0,2615524.0,4551960.0,2823,29,66277155,2138,655,3,9,701,13524108.0,IN2P3-CC-T3_HTC,finished
4051899812,2559184.0,5326431.0,92792.0,44584.0,1.0,1100,1401698.0,1439417.0,2807560.0,0.7339593000000001,469,1100,15.63,0,6390,19438320,0,412,2537356.0,2585780.0,4545432.0,2823,15,43817903,2258,545,3,10,639,5488640.0,IN2P3-CC-T3_HTC,finished
4051899816,2487144.0,6901993.0,116985.0,42156.0,1.0,1100,1373475.0,1401781.0,2660238.0,0.77237356,397,1100,13.56,0,5140,17859172,0,408,2551169.0,2589100.0,4525944.0,2823,15,41503963,2337,444,3,8,514,5443584.0,IN2P3-CC-T3_HTC,finished
4051899831,2716116.0,4993362.0,140962.0,76676.0,1.0,1100,1788333.0,1796972.0,3257718.0,0.6168446,520,1100,16.62,0,10587,23491276,0,424,2846569.0,2855812.0,4608388.0,2823,20,48938667,746,605,28,71,843,5861001.0,FZK-LCG2,finished
4051899839,2718728.0,6474366.0,336595.0,141344.0,1.0,1100,1533352.0,1541855.0,2875394.0,0.5483871,391,1100,15.41,0,8954,13036208,0,395,2894329.0,2903624.0,4489680.0,2823,12,35574633,931,464,21,90,713,5472256.0,FZK-LCG2,finished
4051899840,2107752.0,5849154.0,101201.0,36468.0,1.0,1100,1292233.0,1300316.0,2585186.0,0.5349162,383,1100,16.77,0,8992,5625628,0,374,2808541.0,2817700.0,4478408.0,2823,5,24591785,886,444,20,127,716,5394432.0,FZK-LCG2,finished
4051899842,1935696.0,5386284.0,125061.0,44944.0,1.0,1100,1359079.0,1367227.0,2627376.0,0.55804193,399,1100,13.07,0,8979,13581708,0,396,2893873.0,2902908.0,4461328.0,2823,11,34813671,809,444,22,88,715,5427200.0,FZK-LCG2,finished
4051899850,2601576.0,5425690.0,250606.0,120164.0,1.0,1100,1548706.0,1589426.0,2938548.0,0.58300656,446,1100,11.51,0,9607,26306360,0,431,2882363.0,2895896.0,4579808.0,2823,19,54608377,1301,524,20,122,765,5926407.0,FZK-LCG2,finished
4051899854,2362244.0,3946065.0,134947.0,80784.0,1.0,1100,1762303.0,1781441.0,3314747.0,0.6377550999999999,625,1100,17.42,0,12307,37765732,0,463,2826493.0,2835708.0,4585620.0,2823,31,69935111,1198,685,22,117,980,68267420.0,FZK-LCG2,finished
4051899864,2280720.0,6346351.0,188293.0,67668.0,1.0,1100,1312983.0,1351796.0,2663125.0,0.6175373000000001,331,1100,17.07,0,6496,19803060,0,413,2639571.0,2745436.0,4443244.0,2823,16,44597251,2618,412,11,18,536,5492736.0,pic_HIMEM,finished
4051899866,2101268.0,7008789.0,164707.0,49380.0,1.0,1100,1219503.0,1269656.0,2488611.0,0.60084033,286,1100,14.73,0,5769,12041124,0,392,2544396.0,2641632.0,4395004.0,2823,10,33681386,2637,352,11,18,476,5431296.0,pic_HIMEM,finished
4051899871,2474932.0,8255147.0,220503.0,66108.0,1.0,1100,1482346.0,1490016.0,2594106.0,0.6064257,302,1100,16.82,0,6036,23562844,0,424,2878400.0,2887032.0,4372864.0,2823,20,48145361,2639,352,12,19,498,5439488.0,pic_HIMEM,finished
4051899884,2219580.0,7403419.0,190537.0,57124.0,1.0,1100,1386407.0,1431060.0,2688882.0,0.66527194,318,1100,10.33,0,5793,22037492,0,420,2597500.0,2691752.0,4513060.0,2823,18,47582308,2659,352,12,18,478,5500928.0,pic_HIMEM,finished
4051899901,2740024.0,9139363.0,195807.0,58704.0,1.0,1100,1340983.0,1347913.0,2539863.0,0.5946501999999999,289,1100,9.73,0,5890,18947872,0,411,2779891.0,2788596.0,4432020.0,2823,16,42736894,3266,332,11,18,486,5447680.0,pic_HIMEM,finished
